id,raDeg,decDeg
0,30.9748,42.3297
1,17.433,35.6206
2,9.832,30.861
3,2.0969,29.0904
4,14.3017,23.4176
5,11.8347,24.2672
6,9.6389,29.3118
7,9.2202,33.7193
8,-5.4658,43.2681
9,-14.5197,42.326
10,-4.8979,44.3339
11,-5.609,46.4582
12,14.1884,38.4993
13,12.4535,41.0789
14,17.3755,47.2418
15,24.4982,48.6282
16,-3.4915,46.4203
17,142.3113,-35.9513
18,156.7879,-31.0678
19,164.1794,-37.1378
20,-138.0345,-79.0448
21,-114.9133,-78.6957
22,-109.2306,-77.5174
23,-111.6372,-78.8971
24,-48.081,-9.4958
25,-46.8365,-8.9833
26,-37.1103,-5.5712
27,-28.554,-0.3199
28,-24.5859,-1.3873
29,-22.792,-0.02
30,-21.1609,-0.1175
31,-16.8464,-7.5796
32,-10.5241,-9.1825
33,-12.6383,-21.1724
34,-28.3907,-13.8697
35,-25.7915,-7.7833
36,-23.6807,1.3774
37,-9.2574,-20.1006
38,-4.5591,-17.8165
39,-63.4351,10.6133
40,-62.3042,8.8683
41,-61.1717,6.4068
42,-57.1738,-0.8215
43,-61.8818,1.0057
44,-68.6254,3.1148
45,-73.6475,13.8635
46,-73.4378,-4.8826
47,-98.6514,-56.3777
48,-97.2254,-60.6838
49,-107.5535,-59.0414
50,-105.345,-55.9901
51,-105.104,-53.1604
52,-97.0396,-49.8761
53,-98.675,-55.5299
54,42.496,27.2605
55,31.7934,23.4624
56,28.66,20.808
57,28.3826,19.2939
58,89.8822,44.9474
59,79.1723,45.998
60,76.6287,41.2345
61,74.2484,33.1661
62,81.573,28.6075
63,89.9303,37.2126
64,89.8818,54.2847
65,75.4922,43.8233
66,75.6195,41.0758
67,-153.1844,17.4569
68,-151.3288,18.3977
69,-146.0847,19.1824
70,-142.0425,30.3714
71,-141.9805,38.3083
72,-134.5135,40.3906
73,-131.1243,33.3148
74,-138.7533,27.0742
75,-139.7127,13.7283
76,-145.9041,46.0883
77,-146.6341,51.7879
78,-143.7008,51.8507
79,67.7087,-44.9537
80,70.1405,-41.8638
81,70.5145,-37.1443
82,76.1017,-35.483
83,74.3217,53.7521
84,75.8545,60.4422
85,73.5125,66.3427
86,57.5896,71.3323
87,57.3803,65.526
88,52.2672,59.9403
89,94.7116,69.3198
90,105.0168,76.9774
91,134.6218,11.8577
92,131.1712,18.1543
93,130.8214,21.4685
94,131.6666,28.7651
95,124.1288,9.1855
96,-165.9981,38.3149
97,-171.5644,41.3575
98,95.6749,-17.9559
99,101.2872,-16.7161
100,105.7561,-23.8333
101,107.0979,-26.3932
